position_id,hand,auction,seat,wbridge5_bid,ben_sayc_bid,bba_bid
53,S:QT7 H:A86542 D:764 C:A,Pass Pass Pass 1D 2C 2D,S,3C,2H,
54,S:AK85 H:97 D:Q92 C:QJ92,Pass Pass Pass 1D 2C 2D 3C,W,Pass,Pass,
55,S:J963 H:T D:AK85 C:T754,Pass Pass Pass 1D 2C 2D 3C Pass,N,Pass,Pass,
56,S:42 H:KQJ3 D:JT3 C:K863,Pass Pass Pass 1D 2C 2D 3C Pass Pass,E,Pass,X,
57,S:986 H:Q8642 D:972 C:83,,N,Pass,Pass,
58,S:QJT H:KT73 D:T86 C:K92,Pass,E,1S,Pass,
59,S:532 H:J5 D:AK53 C:AT64,Pass 1S,S,Pass,Pass,
60,S:AK74 H:A9 D:QJ4 C:QJ75,Pass 1S Pass,W,4C,2NT,
61,S:986 H:Q8642 D:972 C:83,Pass 1S Pass 4C,N,Pass,Pass,
62,S:QJT H:KT73 D:T86 C:K92,Pass 1S Pass 4C Pass,E,4D,4S,
63,S:532 H:J5 D:AK53 C:AT64,Pass 1S Pass 4C Pass 4D,S,Pass,Pass,
64,S:AK74 H:A9 D:QJ4 C:QJ75,Pass 1S Pass 4C Pass 4D Pass,W,4H,4NT,
65,S:986 H:Q8642 D:972 C:83,Pass 1S Pass 4C Pass 4D Pass 4H,N,Pass,Pass,
66,S:QJT H:KT73 D:T86 C:K92,Pass 1S Pass 4C Pass 4D Pass 4H Pass,E,4S,4S,
67,S:532 H:J5 D:AK53 C:AT64,Pass 1S Pass 4C Pass 4D Pass 4H Pass 4S,S,Pass,Pass,
68,S:AK74 H:A9 D:QJ4 C:QJ75,Pass 1S Pass 4C Pass 4D Pass 4H Pass 4S Pass,W,Pass,Pass,
69,S:986 H:Q8642 D:972 C:83,Pass 1S Pass 4C Pass 4D Pass 4H Pass 4S Pass Pass,N,Pass,Pass,
70,S:2 H:T95 D:K74 C:AT9876,,N,Pass,Pass,
71,S:A9843 H:J4 D:Q983 C:K3,Pass,E,1S,Pass,
72,S:KJ5 H:AK762 D:J62 C:Q5,Pass 1S,S,4H,2H,
73,S:QT76 H:Q83 D:AT5 C:J42,Pass 1S 4H,W,4S,4S,
74,S:2 H:T95 D:K74 C:AT9876,Pass 1S 4H 4S,N,Pass,5H,
75,S:A9843 H:J4 D:Q983 C:K3,Pass 1S 4H 4S Pass,E,Pass,Pass,
76,S:KJ5 H:AK762 D:J62 C:Q5,Pass 1S 4H 4S Pass Pass,S,Pass,Pass,
77,S:AK953 H:75 D:97 C:A976,,N,1NT,1S,
78,S:Q86 H:KQJ8 D:642 C:KJ3,1NT,E,3D,Pass,
79,S: H:AT64 D:KQJ83 C:QT42,1NT 3D,S,Pass,3NT,
80,S:JT742 H:932 D:AT5 C:85,1NT 3D Pass,W,Pass,Pass,
81,S:AK953 H:75 D:97 C:A976,1NT 3D Pass Pass,N,Pass,Pass,
82,S:J74 H:KJ8753 D:965 C:7,,N,1D,2H,
83,S:82 H:AQT62 D:AKJ C:A82,1D,E,Pass,X,
84,S:QT96 H:9 D:T8732 C:QJ9,1D Pass,S,1H,Pass,
85,S:AK53 H:4 D:Q4 C:KT6543,1D Pass 1H,W,1S,2C,
86,S:J74 H:KJ8753 D:965 C:7,1D Pass 1H 1S,N,2C,4H,
87,S:82 H:AQT62 D:AKJ C:A82,1D Pass 1H 1S 2C,E,Pass,3NT,
88,S:QT96 H:9 D:T8732 C:QJ9,1D Pass 1H 1S 2C Pass,S,2S,2D,
89,S:AK53 H:4 D:Q4 C:KT6543,1D Pass 1H 1S 2C Pass 2S,W,Pass,Pass,
90,S:J74 H:KJ8753 D:965 C:7,1D Pass 1H 1S 2C Pass 2S Pass,N,3C,4H,
91,S:82 H:AQT62 D:AKJ C:A82,1D Pass 1H 1S 2C Pass 2S Pass 3C,E,Pass,3NT,
92,S:QT96 H:9 D:T8732 C:QJ9,1D Pass 1H 1S 2C Pass 2S Pass 3C Pass,S,5D,3D,
93,S:AK53 H:4 D:Q4 C:KT6543,1D Pass 1H 1S 2C Pass 2S Pass 3C Pass 5D,W,Pass,Pass,
94,S:J74 H:KJ8753 D:965 C:7,1D Pass 1H 1S 2C Pass 2S Pass 3C Pass 5D Pass,N,Pass,6H,
95,S:82 H:AQT62 D:AKJ C:A82,1D Pass 1H 1S 2C Pass 2S Pass 3C Pass 5D Pass Pass,E,Pass,X,
96,S:AJT8 H:J2 D:K8753 C:74,,N,1C,Pass,
97,S:Q96432 H:A73 D:AJ C:A6,1C,E,X,1S,
98,S:K75 H:T984 D:QT9 C:QJ8,1C X,S,1H,1H,
99,S: H:KQ65 D:642 C:KT9532,1C X 1H,W,Pass,X,
100,S:AJT8 H:J2 D:K8753 C:74,1C X 1H Pass,N,2H,1S,
101,S:Q96432 H:A73 D:AJ C:A6,1C X 1H Pass 2H,E,Pass,2S,
102,S:K75 H:T984 D:QT9 C:QJ8,1C X 1H Pass 2H Pass,S,4H,Pass,
103,S: H:KQ65 D:642 C:KT9532,1C X 1H Pass 2H Pass 4H,W,Pass,Pass,
104,S:AJT8 H:J2 D:K8753 C:74,1C X 1H Pass 2H Pass 4H Pass,N,Pass,Pass,
105,S:Q96432 H:A73 D:AJ C:A6,1C X 1H Pass 2H Pass 4H Pass Pass,E,Pass,Pass,
106,S:K974 H:QT86 D:Q98 C:A5,,N,1C,Pass,
107,S:85 H:A5 D:A54 C:KQJT43,1C,E,Pass,Pass,
108,S:AT32 H:K32 D:K76 C:962,1C Pass,S,1S,1S,
109,S:QJ6 H:J974 D:JT32 C:87,1C Pass 1S,W,Pass,Pass,
110,S:K974 H:QT86 D:Q98 C:A5,1C Pass 1S Pass,N,2C,2S,
111,S:85 H:A5 D:A54 C:KQJT43,1C Pass 1S Pass 2C,E,Pass,Pass,
112,S:AT32 H:K32 D:K76 C:962,1C Pass 1S Pass 2C Pass,S,3C,Pass,
113,S:QJ6 H:J974 D:JT32 C:87,1C Pass 1S Pass 2C Pass 3C,W,Pass,Pass,
114,S:K974 H:QT86 D:Q98 C:A5,1C Pass 1S Pass 2C Pass 3C Pass,N,3S,3S,
115,S:85 H:A5 D:A54 C:KQJT43,1C Pass 1S Pass 2C Pass 3C Pass 3S,E,Pass,Pass,
116,S:AT32 H:K32 D:K76 C:962,1C Pass 1S Pass 2C Pass 3C Pass 3S Pass,S,4S,Pass,
117,S:QJ6 H:J974 D:JT32 C:87,1C Pass 1S Pass 2C Pass 3C Pass 3S Pass 4S,W,Pass,Pass,
118,S:K974 H:QT86 D:Q98 C:A5,1C Pass 1S Pass 2C Pass 3C Pass 3S Pass 4S Pass,N,Pass,Pass,
119,S:85 H:A5 D:A54 C:KQJT43,1C Pass 1S Pass 2C Pass 3C Pass 3S Pass 4S Pass Pass,E,Pass,Pass,
120,S:JT8 H:AKQ982 D:A4 C:Q3,,N,1D,1H,
121,S:AK972 H:J64 D:K7 C:975,1D,E,X,1S,
122,S:Q6 H:T753 D:Q8653 C:K4,1D X,S,2S,1H,
123,S:543 H: D:JT92 C:AJT862,1D X 2S,W,Pass,3C,
124,S:JT8 H:AKQ982 D:A4 C:Q3,1D X 2S Pass,N,Pass,4H,
125,S:AK972 H:J64 D:K7 C:975,1D X 2S Pass Pass,E,Pass,Pass,
126,S:52 H:8632 D:AJT C:K974,,N,Pass,Pass,
127,S:A843 H:JT75 D:K986 C:Q,Pass,E,Pass,Pass,
128,S:JT96 H:A9 D:742 C:AT82,Pass Pass,S,1C,Pass,
129,S:KQ7 H:KQ4 D:Q53 C:J653,Pass Pass 1C,W,Pass,X,
130,S:52 H:8632 D:AJT C:K974,Pass Pass 1C Pass,N,Pass,1H,
131,S:A843 H:JT75 D:K986 C:Q,Pass Pass 1C Pass Pass,E,1NT,X,
132,S:JT96 H:A9 D:742 C:AT82,Pass Pass 1C Pass Pass 1NT,S,Pass,Pass,
133,S:KQ7 H:KQ4 D:Q53 C:J653,Pass Pass 1C Pass Pass 1NT Pass,W,3NT,2NT,
134,S:52 H:8632 D:AJT C:K974,Pass Pass 1C Pass Pass 1NT Pass 3NT,N,Pass,Pass,
135,S:A843 H:JT75 D:K986 C:Q,Pass Pass 1C Pass Pass 1NT Pass 3NT Pass,E,Pass,Pass,
136,S:JT96 H:A9 D:742 C:AT82,Pass Pass 1C Pass Pass 1NT Pass 3NT Pass Pass,S,Pass,Pass,
137,S:AKJT82 H:A632 D:J C:Q8,,N,2C,1S,
138,S:53 H:K84 D:K2 C:JT9762,2C,E,Pass,Pass,
139,S:Q H:J75 D:AQ8754 C:AK5,2C Pass,S,2D,3D,
140,S:9764 H:QT9 D:T963 C:43,2C Pass 2D,W,Pass,Pass,
141,S:AKJT82 H:A632 D:J C:Q8,2C Pass 2D Pass,N,2H,2S,
142,S:53 H:K84 D:K2 C:JT9762,2C Pass 2D Pass 2H,E,Pass,Pass,
143,S:Q H:J75 D:AQ8754 C:AK5,2C Pass 2D Pass 2H Pass,S,2S,4NT,
144,S:9764 H:QT9 D:T963 C:43,2C Pass 2D Pass 2H Pass 2S,W,Pass,Pass,
145,S:AKJT82 H:A632 D:J C:Q8,2C Pass 2D Pass 2H Pass 2S Pass,N,3S,4S,
146,S:53 H:K84 D:K2 C:JT9762,2C Pass 2D Pass 2H Pass 2S Pass 3S,E,Pass,Pass,
147,S:Q H:J75 D:AQ8754 C:AK5,2C Pass 2D Pass 2H Pass 2S Pass 3S Pass,S,4D,4D,
148,S:9764 H:QT9 D:T963 C:43,2C Pass 2D Pass 2H Pass 2S Pass 3S Pass 4D,W,Pass,Pass,
149,S:AKJT82 H:A632 D:J C:Q8,2C Pass 2D Pass 2H Pass 2S Pass 3S Pass 4D Pass,N,4NT,4S,
150,S:53 H:K84 D:K2 C:JT9762,2C Pass 2D Pass 2H Pass 2S Pass 3S Pass 4D Pass 4NT,E,Pass,Pass,
